********************************************************************************
Log File of Assignment21_3
this log is created at : Fri Jun 20 23:27:31 2025
********************************************************************************
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'}
{'pid': 7364, 'name': 'svchost.exe', 'username': None}
{'pid': 7676, 'name': 'chrome.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 7804, 'name': 'svchost.exe', 'username': None}
{'pid': 7848, 'name': 'svchost.exe', 'username': None}
{'pid': 7940, 'name': 'sihost.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 8116, 'name': 'svchost.exe', 'username': None}
{'pid': 8204, 'name': 'dwm.exe', 'username': None}
{'pid': 8212, 'name': 'svchost.exe', 'username': None}
{'pid': 8284, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 8376, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 8420, 'name': 'SearchFilterHost.exe', 'username': None}
{'pid': 8708, 'name': 'fontdrvhost.exe', 'username': None}
{'pid': 8808, 'name': 'svchost.exe', 'username': None}
{'pid': 8864, 'name': 'svchost.exe', 'username': None}
{'pid': 9064, 'name': 'sapissvc.exe', 'username': None}
{'pid': 9136, 'name': 'svchost.exe', 'username': None}
{'pid': 9356, 'name': 'StartMenuExperienceHost.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 9364, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 9496, 'name': 'Code.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 9500, 'name': 'svchost.exe', 'username': None}
{'pid': 9792, 'name': 'ctfmon.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 9832, 'name': 'winlogon.exe', 'username': None}
{'pid': 9944, 'name': 'MoUsoCoreWorker.exe', 'username': None}
{'pid': 10056, 'name': 'Code.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 10112, 'name': 'igfxEM.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 10280, 'name': 'svchost.exe', 'username': None}
{'pid': 10292, 'name': 'SearchApp.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 10424, 'name': 'SystemSettings.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
